agent,shift,days
Asjad,Morning,Sun-Thurs
Snedan,Morning,Sun-Thurs
Akshay,Morning,Tues-Sat
Geetha Shree,Morning,Tues-Sat
Ashish,Afternoon,Sun-Thurs
Pranali,Afternoon,Sun-Thurs
Deepika,Afternoon,Sun-Thurs
Christine,Afternoon,Tues-Sat
Akshat,Afternoon,Tues-Sat
Yash,Afternoon,Tues-Sat
Gilchrist,Night,Sun-Thurs
Tamil,Night,Sun-Thurs
Hari,Night,Tues-Sat
Julia,Night,Tues-Sat
Zaki,Night,Mon-Fri
